Date,Close,Volume,Name
22-12-2011,179.029999,4694900,Technology-Amazon
23-12-2011,177.279999,3496500,Technology-Amazon
27-12-2011,176.270004,2950900,Technology-Amazon
28-12-2011,173.889999,3659500,Technology-Amazon
29-12-2011,173.860001,8209300,Technology-Amazon
30-12-2011,173.100006,4279800,Technology-Amazon
03-01-2012,179.029999,5110800,Technology-Amazon
04-01-2012,177.509995,4205200,Technology-Amazon
05-01-2012,177.610001,3809100,Technology-Amazon
06-01-2012,182.610001,7008400,Technology-Amazon
09-01-2012,178.559998,5056900,Technology-Amazon
10-01-2012,179.339996,3985800,Technology-Amazon
11-01-2012,178.899994,3102700,Technology-Amazon
12-01-2012,175.929993,5385800,Technology-Amazon
13-01-2012,178.419998,4753500,Technology-Amazon
17-01-2012,181.660004,5644500,Technology-Amazon
18-01-2012,189.440002,7473500,Technology-Amazon
19-01-2012,194.449997,7096000,Technology-Amazon
20-01-2012,190.929993,5610300,Technology-Amazon
23-01-2012,186.089996,4585300,Technology-Amazon
24-01-2012,187,4673800,Technology-Amazon
25-01-2012,187.800003,4306400,Technology-Amazon
26-01-2012,193.320007,5873600,Technology-Amazon
27-01-2012,195.369995,4659000,Technology-Amazon
30-01-2012,192.149994,5424100,Technology-Amazon
31-01-2012,194.440002,12772200,Technology-Amazon
01-02-2012,179.460007,21336600,Technology-Amazon
02-02-2012,181.720001,8736300,Technology-Amazon
03-02-2012,187.679993,8120500,Technology-Amazon
06-02-2012,183.139999,5310000,Technology-Amazon
07-02-2012,184.190002,5103900,Technology-Amazon
08-02-2012,185.479996,5476600,Technology-Amazon
09-02-2012,184.979996,7189200,Technology-Amazon
10-02-2012,185.539993,5797100,Technology-Amazon
13-02-2012,191.589996,6071400,Technology-Amazon
14-02-2012,191.300003,9527100,Technology-Amazon
15-02-2012,184.470001,7794400,Technology-Amazon
16-02-2012,179.929993,12563800,Technology-Amazon
17-02-2012,182.5,7418100,Technology-Amazon
21-02-2012,182.259995,6756500,Technology-Amazon
22-02-2012,180.580002,5785400,Technology-Amazon
23-02-2012,178.889999,5153800,Technology-Amazon
24-02-2012,179.130005,3668700,Technology-Amazon
27-02-2012,178.529999,3706200,Technology-Amazon
28-02-2012,183.800003,5764500,Technology-Amazon
29-02-2012,179.690002,5300300,Technology-Amazon
01-03-2012,180.039993,4936000,Technology-Amazon
02-03-2012,179.300003,3657800,Technology-Amazon
05-03-2012,180.259995,4682700,Technology-Amazon
06-03-2012,181.089996,5612200,Technology-Amazon
07-03-2012,183.770004,4951500,Technology-Amazon
08-03-2012,187.639999,4221500,Technology-Amazon
09-03-2012,184.320007,4510600,Technology-Amazon
12-03-2012,183.389999,2587600,Technology-Amazon
13-03-2012,184.589996,4405800,Technology-Amazon
14-03-2012,182.259995,3699700,Technology-Amazon
15-03-2012,184.429993,4160100,Technology-Amazon
16-03-2012,185.050003,4934000,Technology-Amazon
19-03-2012,185.520004,3903400,Technology-Amazon
20-03-2012,192.330002,9165400,Technology-Amazon
21-03-2012,191.729996,4214400,Technology-Amazon
22-03-2012,192.399994,3739600,Technology-Amazon
23-03-2012,195.039993,5984000,Technology-Amazon
26-03-2012,202.869995,7613700,Technology-Amazon
27-03-2012,205.440002,9600800,Technology-Amazon
28-03-2012,201.160004,6245000,Technology-Amazon
29-03-2012,204.610001,5711200,Technology-Amazon
30-03-2012,202.509995,4438100,Technology-Amazon
02-04-2012,198.050003,6430300,Technology-Amazon
03-04-2012,199.660004,5000700,Technology-Amazon
04-04-2012,193.990005,5456900,Technology-Amazon
05-04-2012,194.389999,3217500,Technology-Amazon
09-04-2012,191.869995,3135900,Technology-Amazon
10-04-2012,186.979996,4455000,Technology-Amazon
11-04-2012,187.970001,4337800,Technology-Amazon
12-04-2012,190.690002,4027900,Technology-Amazon
13-04-2012,188.460007,3431800,Technology-Amazon
16-04-2012,185.5,4044300,Technology-Amazon
17-04-2012,188.389999,2829200,Technology-Amazon
18-04-2012,191.070007,4001900,Technology-Amazon
19-04-2012,191.100006,4002400,Technology-Amazon
20-04-2012,189.979996,3243600,Technology-Amazon
23-04-2012,188.240005,3481000,Technology-Amazon
24-04-2012,190.330002,3376300,Technology-Amazon
25-04-2012,194.419998,3955100,Technology-Amazon
26-04-2012,195.990005,10234000,Technology-Amazon
27-04-2012,226.850006,22116900,Technology-Amazon
30-04-2012,231.899994,9756900,Technology-Amazon
01-05-2012,230.039993,6754900,Technology-Amazon
02-05-2012,230.25,4593400,Technology-Amazon
03-05-2012,229.449997,4055500,Technology-Amazon
04-05-2012,223.990005,4585200,Technology-Amazon
07-05-2012,225.160004,3314300,Technology-Amazon
08-05-2012,223.899994,4522400,Technology-Amazon
09-05-2012,222.979996,3712000,Technology-Amazon
10-05-2012,226.690002,4648400,Technology-Amazon
11-05-2012,227.679993,4193600,Technology-Amazon
14-05-2012,222.929993,3096600,Technology-Amazon
15-05-2012,224.389999,5713700,Technology-Amazon
16-05-2012,224.059998,5261800,Technology-Amazon
17-05-2012,218.360001,4505500,Technology-Amazon
18-05-2012,213.850006,5231700,Technology-Amazon
21-05-2012,218.110001,3579800,Technology-Amazon
22-05-2012,215.330002,3733100,Technology-Amazon
23-05-2012,217.279999,4243800,Technology-Amazon
24-05-2012,215.240005,3141100,Technology-Amazon
25-05-2012,212.889999,2171400,Technology-Amazon
29-05-2012,214.75,2693900,Technology-Amazon
30-05-2012,209.229996,4078200,Technology-Amazon
31-05-2012,212.910004,4944000,Technology-Amazon
01-06-2012,208.220001,3951500,Technology-Amazon
04-06-2012,214.570007,4299600,Technology-Amazon
05-06-2012,213.210007,3543900,Technology-Amazon
06-06-2012,217.639999,2710100,Technology-Amazon
07-06-2012,218.800003,3503900,Technology-Amazon
08-06-2012,218.479996,2877000,Technology-Amazon
11-06-2012,216.5,3749100,Technology-Amazon
12-06-2012,216.419998,2833300,Technology-Amazon
